resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21647,877,811,3,19.0,14,8.0,8,8,4.0,55,+23.542,6382209.0,49.0,10.0,1:45.693,189.174,1
21648,877,814,10,11.0,12,9.0,9,9,2.0,55,+24.160,6382827.0,53.0,9.0,1:45.617,189.310,1
21649,877,817,5,16.0,16,10.0,10,10,1.0,55,+27.463,6386130.0,53.0,12.0,1:45.903,188.799,1
21650,877,30,131,7.0,13,11.0,11,11,0.0,55,+28.075,6386742.0,51.0,6.0,1:45.225,190.015,1
21651,877,818,5,17.0,17,12.0,12,12,0.0,55,+34.906,6393573.0,53.0,13.0,1:46.113,188.425,1
21652,877,5,207,20.0,18,13.0,13,13,0.0,55,+47.764,6406431.0,51.0,15.0,1:47.115,186.662,1
21653,877,10,206,24.0,21,14.0,14,14,0.0,55,+56.473,6415140.0,54.0,18.0,1:47.661,185.716,1
21654,877,815,15,15.0,11,15.0,15,15,0.0,55,+56.768,6415435.0,54.0,7.0,1:45.410,189.682,1
21655,877,808,207,21.0,20,16.0,16,16,0.0,55,+64.595,6423262.0,50.0,19.0,1:48.308,184.606,1
21656,877,37,164,22.0,22,17.0,17,17,0.0,55,+71.778,6430445.0,47.0,20.0,1:48.619,184.078,1
21664,878,1,1,4.0,2,1.0,1,1,25.0,56,1:35:55.269,5755269.0,55.0,5.0,1:39.709,199.047,1
21665,878,20,9,1.0,1,2.0,2,2,18.0,56,+0.675,5755944.0,56.0,1.0,1:39.347,199.772,1
21666,878,4,6,5.0,7,3.0,3,3,15.0,56,+39.229,5794498.0,56.0,4.0,1:39.672,199.121,1
21667,878,13,6,6.0,11,4.0,4,4,12.0,56,+46.013,5801282.0,56.0,2.0,1:39.402,199.661,1
21668,878,18,1,3.0,12,5.0,5,5,10.0,56,+56.432,5811701.0,54.0,6.0,1:40.150,198.170,1
21669,878,8,208,9.0,4,6.0,6,6,8.0,56,+64.425,5819694.0,56.0,3.0,1:39.474,199.517,1
21670,878,154,208,10.0,8,7.0,7,7,6.0,56,+70.313,5825582.0,55.0,10.0,1:40.625,197.235,1
21671,878,807,10,12.0,6,8.0,8,8,4.0,56,+73.792,5829061.0,53.0,16.0,1:41.048,196.409,1
21672,878,813,3,18.0,9,9.0,9,9,2.0,56,+74.525,5829794.0,53.0,12.0,1:40.719,197.051,1
21673,878,811,3,19.0,10,10.0,10,10,1.0,56,+75.133,5830402.0,53.0,13.0,1:40.745,197.000,1
21674,878,815,15,15.0,15,11.0,11,11,0.0,56,+84.341,5839610.0,53.0,11.0,1:40.701,197.086,1
21675,878,817,5,16.0,18,12.0,12,12,0.0,56,+84.871,5840140.0,53.0,14.0,1:40.772,196.947,1
21676,878,3,131,8.0,17,13.0,13,13,0.0,56,+85.510,5840779.0,51.0,8.0,1:40.428,197.622,1
21688,879,18,1,3.0,2,1.0,1,1,25.0,71,1:45:22.656,6322656.0,37.0,2.0,1:18.108,198.601,1
21689,879,4,6,5.0,7,2.0,2,2,18.0,71,+2.754,6325410.0,36.0,4.0,1:18.623,197.301,1
21690,879,13,6,6.0,5,3.0,3,3,15.0,71,+3.615,6326271.0,37.0,5.0,1:18.879,196.660,1
21691,879,17,9,2.0,3,4.0,4,4,12.0,71,+4.936,6327592.0,39.0,6.0,1:18.903,196.600,1
21692,879,807,10,12.0,6,5.0,5,5,10.0,71,+5.708,6328364.0,38.0,3.0,1:18.210,198.342,1
21693,879,20,9,1.0,4,6.0,6,6,8.0,71,+9.453,6332109.0,36.0,9.0,1:19.090,196.136,1
21694,879,30,131,7.0,13,7.0,7,7,6.0,71,+11.907,6334563.0,37.0,15.0,1:20.158,193.522,1
21695,879,818,5,17.0,17,8.0,8,8,4.0,71,+28.653,6351309.0,39.0,8.0,1:18.983,196.401,1
21696,879,155,15,14.0,14,9.0,9,9,2.0,71,+31.250,6353906.0,35.0,7.0,1:18.973,196.426,1
21712,880,8,208,7.0,7,1.0,1,1,25.0,58,1:30:03.225,5403225.0,56.0,1.0,1:29.274,213.845,1
21713,880,4,6,3.0,5,2.0,2,2,18.0,58,+12.451,5415676.0,53.0,3.0,1:29.560,213.162,1
21714,880,20,9,1.0,1,3.0,3,3,15.0,58,+22.346,5425571.0,42.0,10.0,1:30.409,211.160,1
21715,880,13,6,4.0,4,4.0,4,4,12.0,58,+33.577,5436802.0,38.0,8.0,1:30.239,211.558,1
21716,880,1,131,10.0,3,5.0,5,5,10.0,58,+45.561,5448786.0,45.0,5.0,1:29.759,212.689,1
21717,880,17,9,2.0,2,6.0,6,6,8.0,58,+46.800,5450025.0,45.0,4.0,1:29.732,212.753,1
21718,880,16,10,15.0,12,7.0,7,7,6.0,58,+1:05.068,5468293.0,49.0,13.0,1:30.710,210.459,1
21719,880,814,10,14.0,9,8.0,8,8,4.0,58,+1:08.449,5471674.0,56.0,15.0,1:30.894,210.033,1
21720,880,18,1,5.0,10,9.0,9,9,2.0,58,+1:21.630,5484855.0,41.0,7.0,1:30.198,211.654,1
21721,880,154,208,8.0,8,10.0,10,10,1.0,58,+1:22.759,5485984.0,41.0,9.0,1:30.395,211.193,1
21722,880,815,1,6.0,15,11.0,11,11,0.0,58,+1:23.367,5486592.0,46.0,6.0,1:29.926,212.294,1
21723,880,818,5,18.0,13,12.0,12,12,0.0,58,+1:23.857,5487082.0,50.0,2.0,1:29.498,213.309,1
21734,881,20,9,1.0,1,1.0,1,1,25.0,56,1:38:56.681,5936681.0,45.0,3.0,1:40.446,198.661,1
21735,881,17,9,2.0,5,2.0,2,2,18.0,56,+4.298,5940979.0,45.0,6.0,1:40.685,198.190,1
21736,881,1,131,10.0,4,3.0,3,3,15.0,56,+12.181,5948862.0,32.0,10.0,1:41.001,197.570,1
21737,881,3,131,9.0,6,4.0,4,4,12.0,56,+12.640,5949321.0,44.0,8.0,1:40.755,198.052,1
21738,881,13,6,4.0,2,5.0,5,5,10.0,56,+25.648,5962329.0,50.0,2.0,1:39.805,199.937,1
21739,881,154,208,8.0,11,6.0,6,6,8.0,56,+35.564,5972245.0,37.0,11.0,1:41.226,197.131,1
21740,881,8,208,7.0,10,7.0,7,7,6.0,56,+48.479,5985160.0,37.0,13.0,1:41.769,196.079,1
21741,881,807,15,11.0,12,8.0,8,8,4.0,56,+53.044,5989725.0,46.0,7.0,1:40.727,198.107,1
21742,881,815,1,6.0,9,9.0,9,9,2.0,56,+1:12.357,6009038.0,56.0,1.0,1:39.199,201.159,1
21743,881,818,5,18.0,17,10.0,10,10,1.0,56,+1:27.124,6023805.0,45.0,4.0,1:40.492,198.571,1
21744,881,822,3,17.0,18,11.0,11,11,0.0,56,+1:28.610,6025291.0,54.0,12.0,1:41.373,196.845,1
21756,882,4,6,3.0,3,1.0,1,1,25.0,56,1:36:26.945,5786945.0,46.0,4.0,1:39.506,197.210,1
21757,882,8,208,7.0,2,2.0,2,2,18.0,56,+10.168,5797113.0,51.0,5.0,1:39.955,196.324,1
21758,882,1,131,10.0,1,3.0,3,3,15.0,56,+12.322,5799267.0,50.0,6.0,1:39.981,196.273,1
21759,882,20,9,1.0,9,4.0,4,4,12.0,56,+12.525,5799470.0,53.0,1.0,1:36.808,202.706,1
21760,882,18,1,5.0,8,5.0,5,5,10.0,56,+35.285,5822230.0,56.0,2.0,1:38.058,200.122,1
21761,882,13,6,4.0,5,6.0,6,6,8.0,56,+40.827,5827772.0,55.0,10.0,1:40.284,195.680,1
21762,882,817,5,19.0,7,7.0,7,7,6.0,56,+42.691,5829636.0,55.0,9.0,1:40.240,195.766,1
21763,882,814,10,14.0,11,8.0,8,8,4.0,56,+51.084,5838029.0,55.0,7.0,1:40.101,196.038,1
21764,882,154,208,8.0,6,9.0,9,9,2.0,56,+53.423,5840368.0,55.0,11.0,1:40.563,195.137,1
21765,882,807,15,11.0,10,10.0,10,10,1.0,56,+56.598,5843543.0,31.0,12.0,1:40.630,195.007,1
21766,882,815,1,6.0,12,11.0,11,11,0.0,56,+1:03.860,5850805.0,55.0,14.0,1:41.281,193.754,1
21767,882,818,5,18.0,15,12.0,12,12,0.0,56,+1:12.604,5859549.0,56.0,8.0,1:40.138,195.965,1
21768,882,822,3,17.0,16,13.0,13,13,0.0,56,+1:33.861,5880806.0,53.0,3.0,1:38.200,199.832,1
21769,882,813,3,16.0,14,14.0,14,14,0.0,56,+1:35.453,5882398.0,54.0,13.0,1:40.968,194.354,1
21778,883,20,9,1.0,2,1.0,1,1,25.0,57,1:36:00.498,5760498.0,55.0,1.0,1:36.961,200.938,1
21779,883,8,208,7.0,8,2.0,2,2,18.0,57,+9.111,5769609.0,57.0,8.0,1:38.164,198.476,1
21780,883,154,208,8.0,11,3.0,3,3,15.0,57,+19.507,5780005.0,52.0,5.0,1:37.627,199.567,1
21781,883,814,10,14.0,5,4.0,4,4,12.0,57,+21.727,5782225.0,57.0,12.0,1:38.336,198.128,1
21782,883,1,131,10.0,9,5.0,5,5,10.0,57,+35.230,5795728.0,48.0,11.0,1:38.204,198.395,1
21783,883,815,1,6.0,12,6.0,6,6,8.0,57,+35.998,5796496.0,41.0,7.0,1:37.913,198.984,1
21784,883,17,9,2.0,7,7.0,7,7,6.0,57,+37.244,5797742.0,52.0,13.0,1:38.557,197.684,1
21785,883,4,6,3.0,3,8.0,8,8,4.0,57,+37.574,5798072.0,41.0,3.0,1:37.204,200.436,1
21786,883,3,131,9.0,1,9.0,9,9,2.0,57,+41.126,5801624.0,48.0,4.0,1:37.588,199.647,1
21787,883,18,1,5.0,10,10.0,10,10,1.0,57,+46.631,5807129.0,49.0,6.0,1:37.743,199.330,1
21788,883,813,3,16.0,17,11.0,11,11,0.0,57,+1:06.450,5826948.0,57.0,17.0,1:38.962,196.875,1
21789,883,807,15,11.0,14,12.0,12,12,0.0,57,+1:12.933,5833431.0,43.0,15.0,1:38.770,197.258,1
21790,883,16,10,15.0,6,13.0,13,13,0.0,57,+1:16.719,5837217.0,44.0,2.0,1:37.070,200.712,1
21791,883,822,3,17.0,15,14.0,14,14,0.0,57,+1:21.511,5842009.0,57.0,9.0,1:38.192,198.419,1
21792,883,13,6,4.0,4,15.0,15,15,0.0,57,+1:26.364,5846862.0,42.0,16.0,1:38.839,197.120,1
21800,884,4,6,3.0,5,1.0,1,1,25.0,66,1:39:16.596,5956596.0,53.0,5.0,1:26.681,193.329,1
21801,884,8,208,7.0,4,2.0,2,2,18.0,66,+9.338,5965934.0,47.0,6.0,1:26.757,193.160,1
21802,884,13,6,4.0,9,3.0,3,3,15.0,66,+26.049,5982645.0,56.0,2.0,1:26.394,193.971,1
21803,884,20,9,1.0,3,4.0,4,4,12.0,66,+38.273,5994869.0,55.0,9.0,1:27.036,192.541,1
21804,884,17,9,2.0,7,5.0,5,5,10.0,66,+47.963,6004559.0,55.0,8.0,1:27.017,192.583,1
21805,884,3,131,9.0,1,6.0,6,6,8.0,66,+1:08.020,6024616.0,56.0,11.0,1:27.591,191.321,1
21806,884,814,10,14.0,10,7.0,7,7,6.0,66,+1:08.988,6025584.0,55.0,7.0,1:26.776,193.117,1
21807,884,18,1,5.0,14,8.0,8,8,4.0,66,+1:19.506,6036102.0,55.0,14.0,1:27.957,190.524,1
21808,884,815,1,6.0,8,9.0,9,9,2.0,66,+1:21.738,6038334.0,55.0,10.0,1:27.251,192.066,1
21822,885,3,131,9.0,1,1.0,1,1,25.0,78,2:17:52.056,8272056.0,74.0,6.0,1:18.327,153.510,1
21823,885,20,9,1.0,3,2.0,2,2,18.0,78,+3.888,8275944.0,77.0,1.0,1:16.577,157.018,1
21824,885,17,9,2.0,4,3.0,3,3,15.0,78,+6.314,8278370.0,77.0,4.0,1:18.262,153.637,1
21825,885,1,131,10.0,2,4.0,4,4,12.0,78,+13.894,8285950.0,76.0,3.0,1:18.133,153.891,1
21826,885,16,10,15.0,8,5.0,5,5,10.0,78,+21.477,8293533.0,74.0,5.0,1:18.292,153.578,1
21827,885,18,1,5.0,9,6.0,6,6,8.0,78,+23.103,8295159.0,76.0,8.0,1:18.720,152.743,1
21828,885,4,6,3.0,6,7.0,7,7,6.0,78,+26.734,8298790.0,77.0,12.0,1:19.340,151.550,1
21829,885,818,5,18.0,10,8.0,8,8,4.0,78,+27.223,8299279.0,77.0,10.0,1:19.151,151.912,1
21830,885,814,10,14.0,17,9.0,9,9,2.0,78,+27.608,8299664.0,77.0,11.0,1:19.215,151.789,1
21831,885,8,208,7.0,5,10.0,10,10,1.0,78,+36.582,8308638.0,78.0,2.0,1:17.392,155.364,1
21832,885,807,15,11.0,11,11.0,11,11,0.0,78,+42.572,8314628.0,29.0,15.0,1:19.853,150.576,1
21833,885,822,3,17.0,14,12.0,12,12,0.0,78,+42.691,8314747.0,68.0,20.0,1:20.921,148.589,1
21834,885,821,15,12.0,19,13.0,13,13,0.0,78,+43.212,8315268.0,71.0,7.0,1:18.685,152.811,1
21835,885,820,206,23.0,22,14.0,14,14,0.0,78,+49.885,8321941.0,78.0,9.0,1:19.016,152.171,1
21836,885,823,207,21.0,15,15.0,15,15,0.0,78,+1:02.590,8334646.0,50.0,17.0,1:20.494,149.377,1
21844,886,20,9,1.0,1,1.0,1,1,25.0,70,1:32:09.143,5529143.0,55.0,5.0,1:16.561,205.060,1
21845,886,4,6,3.0,6,2.0,2,2,18.0,70,+14.408,5543551.0,69.0,2.0,1:16.203,206.023,1
21846,886,1,131,10.0,2,3.0,3,3,15.0,70,+15.942,5545085.0,69.0,3.0,1:16.354,205.615,1
21847,886,17,9,2.0,5,4.0,4,4,12.0,70,+25.731,5554874.0,69.0,1.0,1:16.182,206.080,1
21848,886,3,131,9.0,4,5.0,5,5,10.0,70,+1:09.725,5598868.0,70.0,4.0,1:16.534,205.132,1
21866,887,3,131,9.0,2,1.0,1,1,25.0,52,1:32:59.456,5579456.0,50.0,2.0,1:33.531,226.744,1
21867,887,17,9,2.0,4,2.0,2,2,18.0,52,+0.765,5580221.0,52.0,1.0,1:33.401,227.059,1
21868,887,4,6,3.0,9,3.0,3,3,15.0,52,+7.124,5586580.0,50.0,3.0,1:34.090,225.396,1
21869,887,1,131,10.0,1,4.0,4,4,12.0,52,+7.756,5587212.0,51.0,4.0,1:34.159,225.231,1
21870,887,8,208,7.0,8,5.0,5,5,10.0,52,+11.257,5590713.0,49.0,8.0,1:35.384,222.339,1
21871,887,13,6,4.0,11,6.0,6,6,8.0,52,+14.573,5594029.0,51.0,6.0,1:35.273,222.598,1
21872,887,16,10,15.0,6,7.0,7,7,6.0,52,+16.335,5595791.0,35.0,12.0,1:35.961,221.002,1
